order_id,id_cliente,product_id,fecha_pedido,cantidad,precio_unitario,descuento,importe_total,metodo_pago,envio_gratis,calificacion,devuelto,canal,año_ventas,categoria_producto,nombre_producto,marca,costo_unitario,precio_lista,peso_kg,proveedor,stock_disponible,fecha_lanzamiento,rating_promedio_producto,edad,estado_civil,nivel_educativo,ingresos_anuales,tiene_hijos,adolescentes_en_casa,fecha_registro,ciudad,region,latitude,longitude,segmento_cliente,visitas_web_mes,precio_unitario_wz,importe_total_wz,mes_ventas
862,1addfaa0-21fa-488c-a052-ab2dce863789,P0040,2022-11-20,1,261.72,0.3,183.2,tarjeta de credito,si,5.0,no,app movil,2022,ropa,Pantalon Prisma Basic,prisma,18.35,39.46,1.89,distribuidora iberia,5,2019-05-12,4.36,40.0,divorciado,grado universitario,20876,no,si,2021-02-20,murcia,sur,42.969,-2.706,recurrente,5,177.66040000000007,183.2,11
863,a9198ed9-2814-4d58-9267-4b9df5a901e6,P0035,2022-08-20,1,22.83,0.1,20.55,contrareembolso,si,4.0,no,web,2022,hogar,Estanteria Vantia Pro,vantia,39.24,80.25,1.56,distribuidora iberia,181,2023-02-18,4.9,50.0,divorciado,grado universitario,63337,si,si,2018-10-14,madrid,centro,41.528,-2.045,nuevo,5,22.83,20.55,8
864,aeff53c8-e634-4105-8a11-baa9209b9ea3,P0011,2022-08-29,1,100.39,0.15,85.33,paypal,no,3.0,no,app movil,2022,electronica,Tablet Prisma Pro,prisma,31.55,62.45,1.65,global supply sl,219,2020-05-17,5.0,43.0,soltero,master,32477,no,no,2022-01-25,vigo,norte,37.222,-6.802,nuevo,8,100.39,85.33,8
865,515f66b1-ad29-40d6-8e72-32626a962974,P0002,2022-05-04,1,106.01,0.2,84.81,paypal,no,5.0,no,tienda fisica,2022,electronica,Auriculares Urbanix Pro,urbanix,47.97,77.93,11.86,global supply sl,392,2019-03-08,3.29,47.0,casado,grado universitario,61757,si,no,2020-03-26,madrid,centro,41.884,-7.046,recurrente,1,106.01,84.81,5
866,e355cad4-1f44-4092-9e46-ee9c68c0c4cc,P0015,2022-11-21,2,96.46,0.0,192.92,tarjeta de credito,no,5.0,no,tienda fisica,2022,electronica,Smartwatch Urbanix Max,urbanix,60.02,109.39,11.24,norte logistica,311,2019-09-15,4.12,43.0,casado,doctorado,31914,no,no,2018-08-18,sevilla,sur,40.348,-1.826,corporativo,5,96.46,192.92,11
867,32497731-5f61-4b41-98c8-b6ba64222141,P0015,2022-11-16,2,52.98,0.1,95.36,tarjeta de credito,no,4.0,no,app movil,2022,electronica,Smartwatch Urbanix Max,urbanix,60.02,109.39,11.24,norte logistica,311,2019-09-15,4.12,33.0,casado,bachillerato,59548,si,no,2020-06-06,malaga,sur,40.649,1.201,recurrente,8,52.98,95.36,11
868,a0df0a1a-57e2-40bd-af50-b49f21198d3d,P0074,2022-05-28,1,20.19,0.0,20.19,tarjeta de credito,si,5.0,no,web,2022,libros,Novela Vantia Pro,vantia,18.08,35.9,10.91,norte logistica,113,2024-04-06,4.42,40.0,casado,master,59608,no,no,2020-01-31,zaragoza,centro,39.248,-5.903,nuevo,7,20.19,20.19,5
869,0cbfde7e-b934-4811-bb6e-69f56cf7b949,P0015,2022-03-10,1,54.19,0.0,54.19,tarjeta de credito,si,4.0,no,app movil,2022,electronica,Smartwatch Urbanix Max,urbanix,60.02,109.39,11.24,norte logistica,311,2019-09-15,4.12,85.0,divorciado,grado universitario,42992,si,no,2018-12-08,murcia,sur,42.866,-8.261,recurrente,5,54.19,54.19,3
870,a6c58e1e-ede4-411f-a790-2db64033bc22,P0089,2022-07-14,1,42.99,0.0,42.99,tarjeta de credito,no,4.0,no,app movil,2022,libros,Poesia Prisma Pro,desconocido,32.84,57.16,0.77,distribuidora iberia,344,2023-01-24,3.62,50.0,casado,master,58695,si,si,2020-03-30,valencia,este,38.025,-5.675,nuevo,8,42.99,42.99,7
871,ff23876e-e678-4c0e-a1f3-e3bc9743fa49,P0023,2022-09-04,2,50.07,0.15,85.12,tarjeta de credito,no,5.0,no,web,2022,hogar,Cafetera Nova Pro,nova,12.56,24.24,6.49,comercial atlas,200,2022-09-01,4.84,57.0,soltero,basico,55291,si,no,2019-12-31,granada,sur,38.073,-8.351,corporativo,7,50.07,85.12,9
872,54af58c4-f643-426b-bcd7-590a826fed73,P0028,2022-07-22,3,35.88,0.1,96.87,paypal,si,5.0,no,web,2022,hogar,Lampara Vantia Basic,vantia,8.2,14.22,9.66,comercial atlas,165,2024-04-13,2.86,48.0,casado,bachillerato,44968,no,si,2022-07-17,sevilla,sur,37.404,-7.539,corporativo,10,35.88,96.87,7
873,a1197351-8267-472a-9319-f107a1a70211,P0031,2022-11-07,3,40.93,0.0,122.79,tarjeta de debito,no,2.0,no,marketplace,2022,hogar,Silla Vantia Basic,vantia,41.97,67.5,8.58,comercial atlas,301,2022-07-25,3.28,26.0,soltero,basico,80820,no,no,2018-10-04,granada,sur,41.273,-4.133,recurrente,4,40.93,122.79,11
874,cd802ebe-82a5-4bf5-899f-8ac547aa729b,P0082,2022-08-18,1,12.75,0.0,12.75,contrareembolso,no,4.0,no,marketplace,2022,libros,Biografia Zentra Basic,zentra,7.0,12.59,4.19,norte logistica,441,2021-02-23,4.61,28.0,soltero,bachillerato,54042,no,si,2018-12-05,murcia,sur,39.693,0.389,nuevo,8,12.75,12.75,8
875,fdeb78d4-a0f0-45ac-aac4-ee833fc5a044,P0071,2022-02-11,1,55.48,0.0,55.48,transferencia,si,4.0,no,app movil,2022,deporte,Casco Lumen Pro,lumen,5.24,9.7,5.45,global supply sl,409,2019-07-03,3.42,60.0,casado,basico,50357,no,si,2021-10-03,sevilla,sur,41.351,-5.006,nuevo,8,55.48,55.48,2
876,3b702f5c-5a3f-4799-ac9b-10436866b1c7,P0038,2022-09-06,5,42.6,0.0,213.02,tarjeta de credito,si,1.0,no,web,2022,ropa,Camiseta Vantia Pro,vantia,22.67,42.57,6.42,distribuidora iberia,368,2023-11-02,3.54,25.0,casado,doctorado,46421,si,no,2020-11-17,granada,sur,39.984,-4.942,nuevo,11,42.6,213.02,9
877,9ca5bc6d-8cfb-40f5-ae00-ed12c362154c,P0025,2022-05-13,1,26.76,0.0,26.76,tarjeta de debito,si,5.0,si,web,2022,hogar,Sarten Kore Basic,kore,22.51,33.31,5.34,comercial atlas,52,2019-01-24,3.63,51.0,casado,grado universitario,66785,no,no,2020-12-07,sevilla,sur,43.495,-4.818,recurrente,14,26.76,26.76,5
878,1c2928f9-0bb0-4c85-9a50-29c7537a5c28,P0020,2022-12-07,1,37.51,0.1,33.76,tarjeta de debito,si,5.0,no,web,2022,hogar,Aspiradora Vantia Pro,vantia,26.28,56.17,4.57,distribuidora iberia,194,2022-05-18,4.86,48.0,casado,grado universitario,32003,si,no,2020-02-06,zaragoza,centro,41.29,-5.631,nuevo,5,37.51,33.76,12
879,b78b6591-4e74-4613-97f0-1680a32686da,P0061,2022-09-10,1,32.76,0.05,31.12,contrareembolso,si,5.0,no,web,2022,deporte,Bicicleta Kore Basic,kore,28.78,45.4,4.76,norte logistica,63,2023-10-03,2.75,53.0,divorciado,basico,31556,no,no,2021-03-30,sevilla,sur,39.363,-3.162,recurrente,5,32.76,31.12,9
880,2853d991-9ca8-4e08-a6c4-8c167acb374d,P0077,2022-03-07,1,32.84,0.1,29.56,tarjeta de debito,no,3.0,no,web,2022,libros,Comic Norte&Co Pro,norte&co,24.43,52.19,11.13,norte logistica,106,2021-07-04,3.25,35.0,soltero,basico,31326,si,no,2022-09-24,madrid,centro,43.162,0.926,recurrente,5,32.84,29.56,3
881,c0e75f2c-3221-428e-b19c-6859be3231ca,P0068,2022-03-13,1,30.46,0.1,27.41,contrareembolso,no,3.0,no,web,2022,deporte,Raqueta Vantia Pro,vantia,39.61,84.55,6.08,distribuidora iberia,415,2023-09-05,3.36,33.0,casado,basico,27229,no,si,2018-10-15,vigo,norte,41.819,0.303,nuevo,5,30.46,27.41,3
882,9083f5b8-e5c8-474a-8b8e-cef8235450c7,P0071,2022-10-22,3,30.36,0.1,81.98,tarjeta de debito,no,5.0,no,marketplace,2022,deporte,Casco Lumen Pro,lumen,5.24,9.7,5.45,global supply sl,409,2019-07-03,3.42,37.0,soltero,bachillerato,27122,si,si,2022-09-26,vigo,norte,36.32,-7.242,nuevo,10,30.36,81.98,10
883,45290c55-bf19-42c5-a622-59893911a86d,P0068,2022-07-15,2,37.26,0.0,74.52,paypal,no,4.0,no,web,2022,deporte,Raqueta Vantia Pro,vantia,39.61,84.55,6.08,distribuidora iberia,415,2023-09-05,3.36,35.0,divorciado,master,29167,no,no,2021-03-16,bilbao,norte,39.669,-8.323,recurrente,9,37.26,74.52,7
884,f6453de1-710d-4c3d-a5fb-0d08ec0b6a38,P0039,2022-03-15,4,13.4,0.0,53.58,tarjeta de credito,si,4.0,no,web,2022,ropa,Camiseta Vantia Max,vantia,67.65,114.1,8.94,global supply sl,303,2021-02-28,3.45,26.0,casado,grado universitario,24687,no,no,2020-11-12,barcelona,este,42.826,-6.116,recurrente,12,13.4,53.58,3
885,0f58f125-e34c-4578-9972-a75913d9441b,P0030,2022-02-08,1,16.85,0.0,16.85,tarjeta de credito,no,4.0,no,web,2022,hogar,Lampara Vantia Max,vantia,20.8,44.72,2.72,comercial atlas,54,2021-09-23,4.01,43.0,casado,grado universitario,21416,si,no,2021-03-12,granada,sur,39.968,-1.959,nuevo,10,16.85,16.85,2
886,0f14d6ee-e853-448f-a20f-d6c933956321,P0007,2022-10-02,2,58.96,0.1,106.12,tarjeta de debito,no,4.0,no,marketplace,2022,electronica,Portatil Kore Basic,kore,52.09,83.96,1.32,norte logistica,85,2020-07-20,4.39,38.0,casado,grado universitario,53296,si,no,2022-08-28,bilbao,norte,40.08,-3.699,recurrente,10,58.96,106.12,10
887,98a72b44-2fc8-4a33-a991-0457e8656a5a,P0087,2022-01-18,4,42.57,0.0,170.29,transferencia,no,4.0,no,app movil,2022,libros,Manual Zentra Max,zentra,18.46,28.12,5.61,distribuidora iberia,365,2021-05-10,4.78,45.0,casado,basico,28104,si,no,2022-03-21,madrid,centro,42.127,-8.653,nuevo,5,42.57,170.29,1
888,faf55384-db15-49b1-b150-96ea5d541c94,P0009,2022-03-16,1,47.49,0.05,45.12,paypal,no,5.0,no,tienda fisica,2022,electronica,Portatil Kore Max,kore,13.97,18.53,8.96,global supply sl,23,2021-12-15,3.84,35.0,soltero,grado universitario,55681,no,no,2022-09-20,granada,sur,38.534,2.297,recurrente,12,47.49,45.12,3
889,cb53b2a0-2d7f-4703-839d-e528267702e7,P0068,2022-03-31,3,68.32,0.05,194.7,tarjeta de credito,si,1.0,no,app movil,2022,deporte,Raqueta Vantia Pro,vantia,39.61,84.55,6.08,distribuidora iberia,415,2023-09-05,3.36,42.0,soltero,basico,28587,si,si,2019-04-27,sevilla,sur,37.95,-6.996,recurrente,7,68.32,194.7,3
890,e2a1f6ad-8b60-41c2-a6dc-a13a30d59124,P0057,2022-10-24,1,84.42,0.0,84.42,transferencia,no,4.0,no,web,2022,deporte,Balon Kore Max,kore,13.36,26.72,9.0,global supply sl,460,2020-12-12,3.49,40.0,soltero,master,21667,no,no,2022-03-04,barcelona,este,37.871,3.168,recurrente,5,84.42,84.42,10
891,6eab86a9-71fd-447d-99e6-d014481a40d5,P0043,2022-12-23,4,58.81,0.05,223.48,contrareembolso,no,5.0,no,marketplace,2022,ropa,Chaqueta Kore Basic,kore,33.61,47.03,2.94,comercial atlas,39,2022-07-28,2.97,27.0,casado,grado universitario,48903,no,no,2022-10-20,bilbao,norte,38.501,-0.784,recurrente,4,58.81,223.48,12
892,ad26ebca-94cf-4d6d-8d69-108cd147fbad,P0019,2022-11-13,3,50.85,0.1,137.3,transferencia,no,4.0,no,web,2022,hogar,Aspiradora Vantia Basic,vantia,25.1,37.76,9.59,global supply sl,148,2023-05-22,4.15,44.0,casado,grado universitario,40781,si,no,2022-12-12,valencia,este,39.849,3.213,nuevo,6,50.85,137.3,11
893,8aa2753f-73b2-4cef-be52-4ca4eb2448c4,P0068,2022-03-01,2,16.28,0.05,30.93,paypal,si,3.0,si,app movil,2022,deporte,Raqueta Vantia Pro,vantia,39.61,84.55,6.08,distribuidora iberia,415,2023-09-05,3.36,45.0,casado,master,40451,si,no,2018-05-09,malaga,sur,39.338,-4.49,vip,15,16.28,30.93,3
894,49dbf263-bbb8-4461-afb9-841df3ed3eda,P0028,2022-12-15,4,34.26,0.1,123.32,paypal,si,4.0,no,web,2022,hogar,Lampara Vantia Basic,vantia,8.2,14.22,9.66,comercial atlas,165,2024-04-13,2.86,25.0,casado,basico,50983,no,no,2018-01-26,zaragoza,centro,40.126,-0.343,vip,10,34.26,123.32,12
895,d53c9059-7344-4cf3-8462-67d3e9503888,P0024,2022-03-15,1,11.96,0.05,11.36,transferencia,si,3.0,no,web,2022,hogar,Cafetera Zentra Max,zentra,13.33,25.2,0.76,distribuidora iberia,20,2021-10-26,4.1,34.0,soltero,bachillerato,46907,no,si,2018-07-14,malaga,sur,42.579,-8.297,nuevo,10,11.96,11.36,3
896,860e55aa-74c8-4210-a492-2e3961fd48c6,P0006,2022-11-04,1,55.89,0.0,55.89,tarjeta de debito,no,4.0,no,app movil,2022,electronica,Smartphone Zentra Max,zentra,66.22,108.96,5.7,norte logistica,209,2021-07-02,3.23,50.0,divorciado,grado universitario,53655,si,no,2018-08-14,sevilla,sur,39.925,-2.74,nuevo,4,55.89,55.89,11
897,8b5aa6b8-644a-4f5c-8bd6-ecc1f1ec5235,P0045,2022-02-26,2,55.45,0.0,110.9,tarjeta de credito,si,5.0,no,app movil,2022,ropa,Chaqueta Norte&Co Max,norte&co,26.67,38.64,3.97,distribuidora iberia,321,2019-06-16,4.69,57.0,casado,grado universitario,58827,si,no,2022-07-06,malaga,sur,39.247,-2.993,nuevo,10,55.45,110.9,2
898,7df9d8de-64b1-4d74-b524-338da65b9b7c,P0076,2022-05-30,5,83.03,0.05,394.38,tarjeta de credito,si,5.0,no,app movil,2022,libros,Comic Prisma Basic,prisma,39.69,83.49,0.43,norte logistica,127,2021-07-21,4.07,40.0,soltero,bachillerato,50363,si,no,2021-04-24,zaragoza,centro,41.79,-3.006,recurrente,3,83.03,394.38,5
899,9e3150f0-094b-4c6e-8026-da218234a4c3,P0073,2022-07-05,2,37.81,0.2,60.5,paypal,no,5.0,no,tienda fisica,2022,libros,Novela Lumen Basic,lumen,91.69,157.59,3.13,comercial atlas,263,2019-09-12,4.47,29.0,casado,basico,27131,si,no,2021-03-19,madrid,centro,42.769,1.263,vip,12,37.81,60.5,7
900,e0f52592-cac1-4388-b83c-5fe9968da8a3,P0080,2022-02-11,1,71.91,0.0,71.91,tarjeta de credito,no,3.0,no,marketplace,2022,libros,Ensayo Prisma Pro,prisma,16.12,34.32,10.66,comercial atlas,340,2019-10-28,4.09,43.0,casado,basico,75870,no,no,2019-06-20,vigo,norte,42.572,0.081,corporativo,5,71.91,71.91,2
901,16953cee-13df-4b71-beeb-20b7b52f0c7c,P0012,2022-03-28,2,48.29,0.0,96.57,tarjeta de credito,no,1.0,no,tienda fisica,2022,electronica,Tablet Nova Max,nova,52.99,69.3,9.28,global supply sl,88,2019-06-06,3.92,61.0,casado,master,47123,no,no,2020-03-19,bilbao,norte,41.182,2.235,vip,6,48.29,96.57,3
902,c72caf45-0686-4c2f-adba-7326768965e0,P0009,2022-02-16,1,92.97,0.05,88.32,tarjeta de debito,si,4.0,no,tienda fisica,2022,electronica,Portatil Kore Max,kore,13.97,18.53,8.96,global supply sl,23,2021-12-15,3.84,59.0,divorciado,master,55743,si,no,2020-06-28,barcelona,este,40.964,-5.741,nuevo,11,92.97,88.32,2
903,1ed21495-6747-4fca-b195-990420c69029,P0003,2022-12-05,1,70.42,0.0,70.42,tarjeta de credito,si,4.0,si,web,2022,electronica,Auriculares Nova Max,nova,49.49,98.89,8.54,global supply sl,317,2023-06-16,4.18,28.0,soltero,master,41263,no,no,2022-10-24,madrid,centro,38.785,-3.754,recurrente,7,70.42,70.42,12
904,dacc377d-6c92-4f2b-bf42-3ee0c1a96777,P0068,2022-12-20,3,42.23,0.15,107.69,tarjeta de debito,no,4.0,no,web,2022,deporte,Raqueta Vantia Pro,vantia,39.61,84.55,6.08,distribuidora iberia,415,2023-09-05,3.36,37.0,casado,master,26452,no,no,2021-05-25,sevilla,sur,42.601,-5.908,recurrente,5,42.23,107.69,12
905,10509d8d-f69b-4796-8dd5-d502ee43707e,P0039,2022-04-09,1,87.89,0.0,87.89,contrareembolso,si,2.0,no,app movil,2022,ropa,Camiseta Vantia Max,vantia,67.65,114.1,8.94,global supply sl,303,2021-02-28,3.45,52.0,casado,doctorado,29673,si,no,2019-06-19,sevilla,sur,42.325,-4.509,nuevo,10,87.89,87.89,4
906,d0e27af1-c92c-47b9-823b-6c0d627c7778,P0090,2022-12-20,1,120.15,0.0,120.15,tarjeta de debito,no,5.0,no,tienda fisica,2022,libros,Poesia Vantia Max,vantia,30.86,40.99,1.29,comercial atlas,21,2021-12-02,4.94,22.0,casado,master,37930,si,no,2019-12-09,madrid,centro,42.486,-1.982,nuevo,12,120.15,120.15,12
907,6a79c716-6a8e-4434-a4b1-ff3a4a44d094,P0053,2022-12-12,2,112.48,0.1,202.47,contrareembolso,no,4.0,no,web,2022,ropa,Gorra Nova Pro,nova,36.14,49.45,10.77,norte logistica,352,2019-05-29,3.06,61.0,casado,bachillerato,27404,no,si,2019-01-12,vigo,norte,42.634,-6.587,recurrente,13,112.48,202.47,12
908,a4cc9087-f99a-4fe2-aa1f-dc4aee145007,P0010,2022-05-27,1,51.87,0.05,49.28,tarjeta de debito,no,4.0,no,marketplace,2022,electronica,Tablet Lumen Basic,lumen,23.59,38.51,8.4,norte logistica,196,2022-04-27,2.89,18.0,soltero,basico,25246,no,no,2019-12-19,madrid,centro,37.244,-5.302,nuevo,9,51.87,49.28,5
909,f913385d-7a36-4766-84b0-3cefaa90a236,P0076,2022-11-09,2,112.33,0.05,213.42,tarjeta de debito,no,5.0,no,tienda fisica,2022,libros,Comic Prisma Basic,prisma,39.69,83.49,0.43,norte logistica,127,2021-07-21,4.07,56.0,casado,bachillerato,54113,si,no,2020-07-04,madrid,centro,37.31,-7.733,recurrente,13,112.33,213.42,11
910,35983973-3fba-4740-aed9-83bae3710bf6,P0055,2022-09-24,1,38.08,0.3,26.66,tarjeta de credito,no,3.0,no,marketplace,2022,deporte,Balon Vantia Basic,vantia,96.15,211.36,7.53,global supply sl,244,2022-02-22,3.99,41.0,soltero,doctorado,60428,si,no,2021-09-20,granada,sur,41.885,-6.312,nuevo,8,38.08,26.66,9
911,f9793e7b-4876-488a-b16e-bcd0d866d2a5,P0090,2022-01-28,2,36.36,0.05,69.09,tarjeta de credito,no,4.0,no,tienda fisica,2022,libros,Poesia Vantia Max,vantia,30.86,40.99,1.29,comercial atlas,21,2021-12-02,4.94,39.0,casado,grado universitario,55568,si,no,2022-11-06,zaragoza,centro,42.75,1.903,vip,10,36.36,69.09,1
912,683db73e-8b56-4da6-828f-04103576c3e3,P0063,2022-11-15,1,27.28,0.15,23.18,tarjeta de credito,si,4.0,no,app movil,2022,deporte,Bicicleta Zentra Max,zentra,34.26,72.84,10.01,comercial atlas,285,2021-03-06,4.84,49.0,soltero,bachillerato,44957,no,no,2018-11-13,zaragoza,centro,41.629,1.754,nuevo,8,27.28,23.18,11
913,c367e1b1-5999-4f71-a4ec-2ee152ce5d45,P0062,2022-04-18,1,42.86,0.1,38.58,transferencia,no,4.0,no,web,2022,deporte,Bicicleta Kore Pro,kore,32.63,45.86,5.3,distribuidora iberia,379,2020-08-02,4.69,59.0,casado,grado universitario,28902,no,no,2018-02-13,sevilla,sur,41.394,-4.977,recurrente,8,42.86,38.58,4
914,5b33d644-6a48-4170-9a3b-11e3ffd0ef4c,P0067,2022-08-07,1,84.2,0.2,67.36,tarjeta de debito,no,4.0,no,app movil,2022,deporte,Raqueta Vantia Basic,vantia,25.61,36.45,8.06,norte logistica,11,2021-07-20,4.07,40.0,divorciado,grado universitario,35195,no,si,2018-06-10,malaga,sur,36.785,-5.304,nuevo,9,84.2,67.36,8
915,f593245d-cf67-43b0-85ce-c9eeacac3c8f,P0075,2022-05-27,1,19.16,0.0,19.16,tarjeta de credito,si,3.0,no,app movil,2022,libros,Novela Urbanix Max,urbanix,29.98,39.74,10.5,comercial atlas,79,2019-01-28,2.66,40.0,soltero,grado universitario,34282,no,no,2020-12-13,valencia,este,39.458,2.714,nuevo,8,19.16,19.16,5
916,280359c3-0076-4043-bd90-5d9842ba7f34,P0036,2022-03-30,2,43.95,0.05,83.51,tarjeta de credito,no,5.0,no,tienda fisica,2022,hogar,Estanteria Norte&Co Max,norte&co,14.61,31.58,7.15,norte logistica,409,2019-01-09,4.82,29.0,soltero,grado universitario,58724,no,no,2021-11-30,valencia,este,39.479,-5.578,vip,9,43.95,83.51,3
917,85e587c9-a62d-4efd-8080-f65c235c4dd7,P0034,2022-10-26,1,26.83,0.0,26.83,paypal,no,5.0,no,tienda fisica,2022,hogar,Estanteria Nova Basic,nova,13.94,26.26,5.83,comercial atlas,197,2023-09-24,3.68,36.0,casado,master,54255,si,no,2021-09-26,malaga,sur,39.957,1.176,vip,10,26.83,26.83,10
918,73fde8c7-1909-42d6-9d87-1fae3e35e4cc,P0031,2022-03-15,2,76.1,0.0,152.19,paypal,si,3.0,no,web,2022,hogar,Silla Vantia Basic,vantia,41.97,67.5,8.58,comercial atlas,301,2022-07-25,3.28,45.0,casado,basico,54891,si,no,2021-12-26,bilbao,norte,40.682,0.391,recurrente,11,76.1,152.19,3
919,d0e27af1-c92c-47b9-823b-6c0d627c7778,P0063,2022-01-23,3,69.65,0.0,208.94,tarjeta de credito,no,5.0,no,tienda fisica,2022,deporte,Bicicleta Zentra Max,zentra,34.26,72.84,10.01,comercial atlas,285,2021-03-06,4.84,22.0,casado,master,37930,si,no,2019-12-09,madrid,centro,42.486,-1.982,nuevo,12,69.65,208.94,1
920,9b2b84f8-7d62-4c1b-a351-ac2ecffa4be4,P0064,2022-06-04,2,13.46,0.3,18.84,tarjeta de credito,si,4.0,si,tienda fisica,2022,deporte,Esterilla Zentra Basic,zentra,17.0,36.49,9.93,norte logistica,240,2022-01-03,4.31,26.0,desconocido,master,31326,no,no,2021-06-10,madrid,centro,42.05,2.776,recurrente,8,13.46,18.84,6
921,fc1dfec7-9623-4638-9b19-4b49585da81e,P0054,2022-09-21,1,24.88,0.2,19.9,tarjeta de credito,no,5.0,no,web,2022,ropa,Gorra Lumen Max,lumen,32.42,49.51,2.98,distribuidora iberia,285,2022-09-07,4.01,47.0,divorciado,grado universitario,43531,no,si,2020-07-28,bilbao,norte,40.864,1.679,recurrente,7,24.88,19.9,9
922,dd64d7c5-2d62-4f08-a919-e2c3e1076fea,P0035,2022-05-26,1,54.61,0.15,46.42,paypal,no,5.0,no,web,2022,hogar,Estanteria Vantia Pro,vantia,39.24,80.25,1.56,distribuidora iberia,181,2023-02-18,4.9,22.0,soltero,grado universitario,31583,no,no,2021-10-17,barcelona,este,40.907,-6.732,recurrente,3,54.61,46.42,5
923,ad57ab53-d658-4ad1-a72a-3e34e14c6e13,P0016,2022-02-19,1,13.08,0.05,12.43,contrareembolso,no,4.0,no,marketplace,2022,electronica,Camara Norte&Co Basic,norte&co,54.61,107.04,5.5,distribuidora iberia,167,2021-03-06,2.69,40.0,casado,bachillerato,34104,no,no,2019-02-28,valencia,este,36.063,2.146,nuevo,8,13.08,12.43,2
924,b234d49d-55f3-41f8-a3c0-e8c94f7114a0,P0030,2022-06-01,2,56.41,0.15,95.9,transferencia,no,5.0,no,web,2022,hogar,Lampara Vantia Max,vantia,20.8,44.72,2.72,comercial atlas,54,2021-09-23,4.01,49.0,soltero,grado universitario,23274,no,no,2021-08-13,valencia,este,38.807,-8.652,vip,9,56.41,95.9,6
925,ad26ebca-94cf-4d6d-8d69-108cd147fbad,P0023,2022-01-16,1,46.41,0.0,46.41,tarjeta de debito,si,4.0,no,app movil,2022,hogar,Cafetera Nova Pro,nova,12.56,24.24,6.49,comercial atlas,200,2022-09-01,4.84,44.0,casado,grado universitario,40781,si,no,2022-12-12,valencia,este,39.849,3.213,nuevo,6,46.41,46.41,1
926,e6199f0e-85f4-4547-b670-c9240de55a80,P0033,2022-08-09,4,77.13,0.05,293.11,transferencia,no,4.0,no,app movil,2022,hogar,Silla Nova Max,nova,6.78,11.26,10.56,comercial atlas,444,2021-01-19,3.5,58.0,casado,grado universitario,52649,si,si,2019-03-31,vigo,norte,37.982,-6.339,corporativo,7,77.13,293.11,8
927,0b720881-9e27-4870-9730-ec95cb5ed2e5,P0049,2022-10-09,2,20.2,0.05,38.38,contrareembolso,no,4.0,no,web,2022,ropa,Vestido Norte&Co Basic,norte&co,34.23,62.87,2.38,norte logistica,488,2021-07-07,3.44,40.0,soltero,basico,55080,si,si,2019-01-14,bilbao,norte,38.684,0.623,nuevo,7,20.2,38.38,10
928,d5baac55-e9f0-4636-8ea1-827f25d5d34a,P0052,2022-03-08,2,63.03,0.2,100.85,transferencia,si,5.0,no,tienda fisica,2022,ropa,Gorra Kore Basic,kore,7.58,12.24,8.29,global supply sl,282,2019-05-22,4.95,24.0,casado,basico,79309,no,no,2018-01-10,sevilla,sur,36.67,0.06,vip,7,63.03,100.85,3
929,fa8d54c0-bfa4-4756-bd57-39569f1c5d2a,P0089,2022-03-02,3,124.91,0.0,374.72,tarjeta de debito,no,4.0,no,web,2022,libros,Poesia Prisma Pro,desconocido,32.84,57.16,0.77,distribuidora iberia,344,2023-01-24,3.62,40.0,soltero,bachillerato,50082,no,no,2022-05-15,murcia,sur,43.32,-7.168,vip,6,124.91,374.72,3
930,771e402e-f124-455b-a9d1-2bc1c909c2c2,P0087,2022-07-01,1,58.24,0.15,49.5,paypal,no,4.0,no,web,2022,libros,Manual Zentra Max,zentra,18.46,28.12,5.61,distribuidora iberia,365,2021-05-10,4.78,40.0,casado,desconocido,53583,no,no,2020-05-04,barcelona,este,43.481,-8.201,nuevo,6,58.24,49.5,7
931,8b1d6eca-2f52-4ae1-992e-0c327c0d5ed1,P0005,2022-07-15,4,42.42,0.3,118.77,tarjeta de credito,no,5.0,no,web,2022,electronica,Smartphone Zentra Pro,zentra,17.49,26.0,1.69,norte logistica,387,2021-01-30,3.95,43.0,soltero,master,45233,no,no,2020-10-30,valencia,este,36.207,-5.895,recurrente,6,42.42,118.77,7
932,b231a6c5-a5e8-46f6-8191-5ace60cb8893,P0032,2022-09-22,2,63.83,0.3,89.37,tarjeta de credito,no,1.0,no,web,2022,hogar,Silla Norte&Co Pro,norte&co,80.42,136.88,1.15,norte logistica,217,2023-07-19,3.63,43.0,casado,master,65462,no,no,2018-01-05,madrid,centro,42.744,3.12,nuevo,7,63.83,89.37,9
933,e77c80b6-64e0-4e07-8666-2cd040955345,P0012,2022-07-11,2,53.46,0.2,85.54,tarjeta de debito,no,4.0,no,web,2022,electronica,Tablet Nova Max,nova,52.99,69.3,9.28,global supply sl,88,2019-06-06,3.92,23.0,casado,bachillerato,43962,si,no,2021-01-24,malaga,sur,37.618,-8.307,recurrente,9,53.46,85.54,7
934,80d58004-561a-4429-90c4-e7365f4fa7e6,P0003,2022-12-30,2,77.41,0.15,131.59,contrareembolso,no,5.0,no,web,2022,electronica,Auriculares Nova Max,nova,49.49,98.89,8.54,global supply sl,317,2023-06-16,4.18,30.0,soltero,grado universitario,18068,no,no,2022-03-24,bilbao,norte,40.339,-5.979,corporativo,6,77.41,131.59,12
